sentence,likelihood
What?,-5.296875
Oh!,-6.296875
Mom!,-6.6875
What are you doing?,-6.69677734375
No.,-6.75
Hey!,-6.796875
You know what?,-7.0234375
Really?,-7.046875
Wow!,-7.140625
Yeah.,-7.46875
Oh my God!,-7.59375
Okay.,-7.59375
I don't know.,-7.62109375
Mr.,-7.68408203125
Whoa!,-7.75
Why?,-7.765625
What do you mean?,-7.7939453125
No way!,-7.8125
What are you talking about?,-7.82623291015625
Oh no!,-7.875
What's wrong?,-7.921875
Oh my gosh!,-7.935546875
Hi!,-8.0625
OMG!,-8.08935546875
Whatever.,-8.125
Yes!,-8.15625
Dude!,-8.16796875
Mrs.,-8.291748046875
Hello?,-8.34375
Seriously?,-8.34375
What's going on?,-8.354736328125
What's that?,-8.3671875
Mommy!,-8.4140625
Come on!,-8.43359375
"Oh, yeah.",-8.4453125
Ugh.,-8.47265625
Who are you?,-8.48046875
Fine.,-8.5
Um.,-8.578125
OK.,-8.609375
Look!,-8.625
Ha!,-8.625
What's up?,-8.625
All right.,-8.65625
Well.,-8.671875
I'm sorry.,-8.6796875
What are you doing here?,-8.68505859375
Dad!,-8.703125
Excuse me?,-8.7396240234375
"No, no.",-8.76953125
See?,-8.8046875
Don't worry.,-8.8070068359375
Huh?,-8.8359375
Ms.,-8.84375
"No, no, no.",-8.849609375
Where are you going?,-8.88671875
Ah!,-8.8984375
Uh.,-8.90625
Are you okay?,-8.91552734375
Wait a minute.,-8.95703125
It's okay.,-8.96875
Me?,-8.984375
What is this?,-9.015625
Yo!,-9.03125
Are you serious?,-9.03271484375
Dr.,-9.05859375
Mama!,-9.0703125
I don't care.,-9.07421875
Wait.,-9.078125
What's this?,-9.0859375
Are you sure?,-9.09521484375
Ooh!,-9.1015625
Where are you?,-9.1171875
Umm.,-9.1484375
"Wait, what?",-9.150390625
What happened?,-9.1640625
I love you.,-9.1875
Are you kidding me?,-9.19091796875
Cool.,-9.203125
What is that?,-9.234375
"Oh, really?",-9.2421875
What's wrong with you?,-9.29296875
Oh my goodness!,-9.3046875
Nope.,-9.3203125
Great!,-9.3359375
I know!,-9.375
What the hell?,-9.3984375
What do you want?,-9.4306640625
Yay!,-9.453125
What are you looking at?,-9.46337890625
What is it?,-9.4921875
Who?,-9.53125
Woah!,-9.560546875
Stop!,-9.5625
But.,-9.5625
"Oh, okay.",-9.578125
Where have you been?,-9.59814453125
Are you kidding?,-9.60302734375
That's it?,-9.61328125
How old are you?,-9.6318359375
Man!,-9.640625
O.,-9.65625
Why not?,-9.6640625
I.,-9.671875
"Yeah, yeah.",-9.6953125
Don't worry about it.,-9.7230224609375
"I know, right?",-9.73828125
What are you reading?,-9.75927734375
Guess what?,-9.763671875
Look at me!,-9.7734375
Alright.,-9.78125
"Uh, no.",-9.787109375
I can't.,-9.7958984375
"Oh, Mr.",-9.802490234375
Help!,-9.8046875
What do you do?,-9.8056640625
Daddy!,-9.8125
Are you crazy?,-9.82568359375
God!,-9.828125
Aha!,-9.859375
What is wrong with you?,-9.862548828125
Listen.,-9.875
How are you?,-9.8876953125
What's your name?,-9.890625
Oh wow!,-9.890625
Oooh!,-9.89404296875
Are you ready?,-9.89990234375
Hmm.,-9.90625
It's fine.,-9.90625
So.,-9.90625
What do you think?,-9.9072265625
What are you wearing?,-9.94287109375
Girls!,-9.953125
Congratulations!,-9.96875
Get out!,-9.9765625
What's for dinner?,-9.982421875
Duh!,-9.984375
Sure.,-9.984375
Thank you.,-9.9921875
Let's go!,-9.99609375
"Um, no.",-9.9990234375
What's the matter?,-10.015625
Ew!,-10.015625
What are you going to do?,-10.021484375
Ummm.,-10.0234375
Shut up!,-10.0390625
Hey guys!,-10.046875
Here.,-10.0625
"Hey, what's up?",-10.0703125
Woo!,-10.078125
Sorry.,-10.09375
Why are you crying?,-10.09765625
Ahh!,-10.109375
What are you guys doing?,-10.11083984375
Why are you doing this?,-10.11328125
"Well, I don't know.",-10.115966796875
I don't get it.,-10.12109375
What do you want to do?,-10.1376953125
"Hey, you know what?",-10.14453125
"Uh, yeah.",-10.154296875
"Hey, Mr.",-10.158203125
What the heck?,-10.1640625
Holy crap!,-10.171875
What does that mean?,-10.171875
WTF?,-10.171875
What's the big deal?,-10.1787109375
I don't understand.,-10.18359375
Ow!,-10.1875
How?,-10.1875
What the hell are you doing?,-10.193359375
Who is this?,-10.19921875
"Well, yeah.",-10.2001953125
Can you believe it?,-10.203125
Where are you from?,-10.20703125
You're right.,-10.2109375
I get it.,-10.2109375
C'mon!,-10.216552734375
Who's that?,-10.21875
You don't understand.,-10.228759765625
Stop it!,-10.234375
I'm so sorry.,-10.2421875
Why are you doing that?,-10.24609375
"Oh, come on.",-10.247314453125
"Yeah, I know.",-10.25
Nothing.,-10.25
What did you do?,-10.255859375
Yep.,-10.2578125
Come here.,-10.265625
Please!,-10.28125
"Yeah, right.",-10.28125
Damn!,-10.28125
I'm fine.,-10.296875
I dunno.,-10.3011474609375
What about me?,-10.3046875
Girl!,-10.3125
I can't do this.,-10.3154296875
Go ahead.,-10.3203125
Who cares?,-10.3203125
Are you OK?,-10.32568359375
What the.,-10.328125
No problem.,-10.34375
Where am I?,-10.358489990234375
So what?,-10.359375
Hold on.,-10.37890625
I'm tired.,-10.3828125
"Yeah, sure.",-10.3828125
I told you so.,-10.3828125
Of course!,-10.38525390625
You!,-10.390625
Mum!,-10.390625
Leave me alone!,-10.3916015625
"Oh, look!",-10.3984375
Guys!,-10.41162109375
Uh-uh.,-10.4140625
I'm hungry.,-10.4140625
"Oh, I don't know.",-10.414794921875
Can I help you?,-10.41552734375
Wait a second.,-10.421875
Haha!,-10.4296875
"Oh, God.",-10.4296875
How are you doing?,-10.4345703125
Finally!,-10.4375
You know.,-10.4453125
What was that?,-10.4453125
I'm done.,-10.453125
Thanks.,-10.453125
It's OK.,-10.453125
Where were you?,-10.455078125
This is great!,-10.47265625
"Oh, I'm sorry.",-10.4765625
What time is it?,-10.4765625
What do you think you're doing?,-10.4833984375
"Yeah, whatever.",-10.484375
Awesome!,-10.484375
Uhh.,-10.484375
What's the difference?,-10.4921875
Do you know who I am?,-10.495849609375
Where are we going?,-10.49609375
What happened to you?,-10.5
Ahhh!,-10.5
Will you marry me?,-10.5078125
"Well, you know what?",-10.5087890625
What's the problem?,-10.515625
How much?,-10.515625
I love you so much!,-10.52001953125
Noooo!,-10.5234375
"Um, yeah.",-10.5302734375
Oh man!,-10.53125
"Mom, what are you doing?",-10.54541015625
Mother!,-10.546875
Bro!,-10.546875
I can't believe it.,-10.5615234375
Where?,-10.5625
"Oh, great.",-10.5625
What the hell is this?,-10.5703125
Why did you do that?,-10.572265625
Why would you do that?,-10.576171875
"Yeah, yeah, yeah.",-10.576171875
"Whoa, whoa, whoa.",-10.59014892578125
What the fuck?,-10.59375
Omigod!,-10.59765625
Jesus!,-10.609375
Uh-huh.,-10.614013671875
What the hell is that?,-10.6171875
I hate you.,-10.625
Why are you here?,-10.62890625
Good.,-10.640625
But why?,-10.640625
"Okay, fine.",-10.6455078125
I don't think so.,-10.65234375
Oh cool!,-10.65625
Hah!,-10.65625
Dang!,-10.65625
What are you doing tonight?,-10.66552734375
I'm pregnant.,-10.6875
Aww!,-10.6875
Ma!,-10.6875
This is ridiculous.,-10.69140625
Nooooo!,-10.6953125
What do you want me to do?,-10.695404052734375
What're you doing?,-10.70068359375
Watch this!,-10.70703125
Where is it?,-10.70703125
What are you gonna do?,-10.71044921875
What do I do?,-10.7109375
Again?,-10.7265625
What's that smell?,-10.73046875
Shit!,-10.734375
"Uh, what?",-10.740234375
I'll be right back.,-10.75
What's going on here?,-10.753173828125
What about you?,-10.7578125
"Well, Mr.",-10.75830078125
Get out of here!,-10.765625
"No, you don't understand.",-10.7723388671875
What's the matter with you?,-10.7802734375
Mmm.,-10.78125
I like you.,-10.7890625
Agh!,-10.7890625
"Okay, cool.",-10.7939453125
What are we doing?,-10.796875
Meh.,-10.796875
Nooo!,-10.8046875
Boo!,-10.8046875
How do you know?,-10.806640625
"Oh, please.",-10.8125
Ooooh!,-10.81640625
This is it.,-10.81640625
"No, I'm not.",-10.81640625
How did you do that?,-10.81640625
I'm bored.,-10.8203125
Holy shit!,-10.8359375
How do you do that?,-10.841796875
Argh!,-10.84375
What's the point?,-10.8515625
Boom!,-10.8515625
I'm so tired.,-10.8515625
"Hi, Mr.",-10.85546875
What are you?,-10.85693359375
"Uh, hello?",-10.865234375
It's cool.,-10.8671875
What did you say?,-10.873046875
Eh.,-10.875
Pfft.,-10.875
What should I do?,-10.87890625
That's great.,-10.87890625
You suck!,-10.890625
Who is she?,-10.890625
Oops!,-10.890625
Omigosh!,-10.89453125
Happy birthday!,-10.8984375
"Hi, how are you?",-10.900146484375
Hmmm.,-10.90625
Who do you think you are?,-10.908203125
"Oh, Mrs.",-10.91552734375
What are you thinking?,-10.91943359375
Go away.,-10.921875
"Oh, OK.",-10.921875
"Oh, yes.",-10.921875
How do you know that?,-10.923828125
Where did you get that?,-10.927734375
Wha?,-10.9296875
What am I going to do?,-10.93072509765625
How could you?,-10.931640625
How did you know?,-10.931640625
Bye!,-10.93359375
"No, seriously.",-10.93359375
I'm not going.,-10.9375
"Oh, good.",-10.9375
What's your problem?,-10.9375
"Oh, right.",-10.9375
Absolutely not.,-10.94140625
For real?,-10.9453125
Surprise!,-10.947265625
Do I have to?,-10.953125
What are you guys talking about?,-10.9541015625
Whaaat?,-10.958984375
What are you looking for?,-10.96240234375
What are we going to do?,-10.962890625
Thank you so much.,-10.96435546875
I don't know what you're talking about.,-10.964874267578125
What are you watching?,-10.96630859375
What's happening?,-10.96875
Oh hey!,-10.96875
"Hey, what are you doing?",-10.970703125
Who is that?,-10.9765625
What are you laughing at?,-10.97900390625
I can't do it.,-10.9833984375
Aw!,-10.984375
What am I doing?,-10.99066162109375
Honey!,-10.9921875
What's wrong with that?,-10.99609375
"Um, what?",-10.9990234375
Where is he?,-11.0
"Hey, man.",-11.0
Go!,-11.0
Are you gay?,-11.00537109375
Say what?,-11.0078125
Are you for real?,-11.01318359375
I got this.,-11.015625
"Mommy, look!",-11.0185546875
What the hell are you talking about?,-11.02288818359375
Which one?,-11.0234375
I'm out.,-11.0234375
I can't do that.,-11.0302734375
Right.,-11.03125
Maybe.,-11.03125
Why me?,-11.0390625
Don't touch me!,-11.0452880859375
I love it!,-11.046875
Uhm.,-11.046875
There's no way.,-11.052734375
No thanks.,-11.0546875
Who's this?,-11.0625
Look at this.,-11.0703125
Me too!,-11.0703125
Fuck you.,-11.0703125
"No, it's not.",-11.0771484375
"Oh, don't worry.",-11.07781982421875
Ohhh!,-11.078125
"Oh, honey.",-11.0859375
You're crazy.,-11.0859375
Are you coming?,-11.08740234375
That's cool.,-11.08984375
My God!,-11.09375
Hey mom!,-11.09375
"Okay, Mr.",-11.099853515625
"Oh, sorry.",-11.1015625
"Well, no.",-11.1064453125
Can I ask you a question?,-11.1064453125
Uhhh.,-11.109375
Augh!,-11.125
Calm down.,-11.12744140625
"Oh, hi.",-11.1328125
That's okay.,-11.13671875
Awww!,-11.140625
What do you need?,-11.1416015625
Did you hear?,-11.1416015625
Where'd you get that?,-11.1455078125
Shh!,-11.1484375
Awwww!,-11.1484375
"Yeah, man.",-11.1484375
What's the deal?,-11.15625
Get a job!,-11.15625
"Yeah, you're right.",-11.1640625
"Hey, look!",-11.1640625
Here you go.,-11.16796875
Who the hell are you?,-11.1689453125
How's it going?,-11.177734375
Holy cow!,-11.1796875
You've got to be kidding me.,-11.1796875
"Hey, what's going on?",-11.180419921875
What are you saying?,-11.18505859375
What did I do?,-11.1875
What are you eating?,-11.19287109375
What is going on?,-11.1932373046875
Oh my!,-11.1953125
Nah.,-11.1953125
"Hey, how's it going?",-11.19677734375
That's fine.,-11.19921875
"No, Mom.",-11.19921875
This is crazy.,-11.19921875
I don't want to.,-11.201171875
Can you help me?,-11.203125
What's wrong with me?,-11.203125
